gene	OG_score	TS_score	classification
ABL1	93%	0%	OG
ACVR1B	0%	42%	TSG
AKT1	93%	1%	OG
ALK	72%	1%	OG
APC	2%	92%	TSG
AR	54%	0%	OG
ARID1A	1%	83%	TSG
ARID1B	0%	50%	TSG
ARID2	0%	56%	TSG
ASXL1	5%	87%	TSG
ATM	24%	30%	TSG
ATRX	4%	47%	TSG
AXIN1	20%	27%	TSG
B2M	18%	39%	TSG
BAP1	8%	70%	TSG
BCL2	27%	1%	OG
BCOR	0%	70%	TSG
BRAF	100%	0%	OG
BRCA1	0%	69%	TSG
BRCA2	0%	30%	TSG
CARD11	30%	1%	OG
CASP8	0%	52%	TSG
CBL	57%	9%	OG
CDC73	4%	78%	TSG
CDH1	14%	52%	TSG
CDKN2A	32%	49%	TSG
CEBPA	30%	54%	TSG
CIC	12%	31%	TSG
CREBBP	24%	34%	TSG
CRLF2	100%	0%	OG
CSF1R	50%	15%	OG
CTNNB1	92%	1%	OG
CYLD	0%	85%	TSG
DAXX	7%	61%	TSG
DNMT1	36%	5%	OG
DNMT3A	74%	12%	OG
EGFR	97%	0%	OG
EP300	12%	32%	TSG
ERBB2	67%	3%	OG
EZH2	67%	12%	OG
FAM123B	4%	66%	TSG
FBXW7	55%	18%	TSG
FGFR2	49%	6%	OG
FGFR3	99%	0%	OG
FLT3	98%	0%	OG
FOXL2	100%	0%	OG
FUBP1	0%	70%	TSG
GATA1	8%	84%	TSG
GATA2	53%	4%	OG
GATA3	9%	66%	TSG
GNA11	92%	1%	OG
GNAQ	95%	1%	OG
GNAS	93%	2%	OG
H3F3A	93%	0%	OG
HIST1H3B	60%	0%	OG
HNF1A	29%	55%	TSG
HRAS	96%	0%	OG
IDH1	100%	0%	OG
IDH2	99%	0%	OG
JAK1	26%	18%	OG
JAK2	100%	0%	OG
JAK3	60%	6%	OG
KDM5C	0%	62%	TSG
KDM6A	0%	72%	TSG
KIT	90%	0%	OG
KLF4	80%	4%	OG
KRAS	100%	0%	OG
MAP2K1	67%	0%	OG
MAP3K1	0%	63%	TSG
MED12	84%	0%	OG
MEN1	7%	68%	TSG
MET	61%	4%	OG
MLH1	18%	37%	TSG
MLL2	1%	70%	TSG
MLL3	5%	44%	TSG
MPL	96%	0%	OG
MSH2	0%	65%	TSG
MSH6	3%	68%	TSG
MYD88	92%	1%	OG
NCOR1	11%	32%	TSG
NF1	2%	73%	TSG
NF2	4%	89%	TSG
NFE2L2	74%	1%	OG
NOTCH1	44%	27%	TSG
NOTCH2	0%	27%	TSG
NPM1	2%	98%	TSG
NRAS	99%	0%	OG
PAX5	42%	26%	TSG
PBRM1	0%	83%	TSG
PDGFRA	84%	1%	OG
PHF6	18%	61%	TSG
PIK3CA	95%	1%	OG
PIK3R1	14%	37%	TSG
PPP2R1A	85%	2%	OG
PRDM1	0%	64%	TSG
PTCH1	7%	60%	TSG
PTEN	30%	55%	TSG
PTPN11	90%	0%	OG
RB1	4%	80%	TSG
RET	86%	1%	OG
RNF43	7%	43%	TSG
RUNX1	34%	41%	TSG
SETD2	3%	47%	TSG
SETBP1	25%	4%	OG
SF3B1	91%	0%	OG
SMAD2	0%	41%	TSG
SMAD4	24%	39%	TSG
SMARCA4	22%	22%	TSG
SMARCB1	16%	74%	TSG
SMO	51%	3%	OG
SOCS1	15%	46%	TSG
SOX9	0%	70%	TSG
SPOP	66%	3%	OG
SRSF2	95%	2%	OG
STAG2	0%	33%	TSG
STK11	24%	52%	TSG
TET2	14%	70%	TSG
TNFAIP3	1%	80%	TSG
TRAF7	61%	9%	TSG
TP53	73%	20%	TSG
TSC1	0%	45%	TSG
TSHR	86%	0%	OG
U2AF1	92%	1%	OG
VHL	27%	60%	TSG
WT1	10%	79%	TSG
ACVR1			ND
AKT2			OG
AKT3			OG
BRPF1			ND
BRPF3			ND
CCND1			OG
CCND2			OG
CDK4			OG
CDK6			OG
CDKN2B			TSG
CDKN2C			TSG
CHEK2			TSG
D2HGDH			ND
DICER1			ND
FGFR1			OG
FGFR4			OG
FOXO3			TSG
H2AFX			ND
HDAC2			ND
HIST1H3C			ND
KDR			OG
LDB1			ND
MDM2			OG
MGMT			DRG
MRE11A			DRG
MYB			OG
MYBL1			OG
MYC			OG
MYCN			OG
MYL1			ND
NBN			DRG
NDRG2			TSG
NTRK2			ND
PCDH8			ND
PIK3C2G			ND
PPM1D			OG
PRKAR1A			TSG
PTCH2			ND
RAF1			OG
SMARCA2			ND
SMARCD1			TSG
SMARCD2			TSG
SMARCE1			ND
SUFU			TSG
TBR1			ND
TCF4			ND
TSC2			TSG
LZTR1			ND
